model,temperature,prompt_variant,item_id,Item,helper,mean,std,count
claude-3-5-haiku-20241022,0,detailed,1,1A,helper_a,-3.0,0.0,10
claude-3-5-haiku-20241022,0,detailed,1,1B,helper_b,2.0,0.0,10
claude-3-5-haiku-20241022,0,detailed,2,2A,helper_a,-2.0,0.0,10
claude-3-5-haiku-20241022,0,detailed,2,2B,helper_b,2.0,0.0,10
claude-3-5-haiku-20241022,0,detailed,3,3A,helper_a,1.0,0.0,10
claude-3-5-haiku-20241022,0,detailed,3,3B,helper_b,2.0,0.0,10
claude-3-5-haiku-20241022,0,detailed,4,4A,helper_a,-2.0,0.0,10
claude-3-5-haiku-20241022,0,detailed,4,4B,helper_b,-3.0,0.0,10
claude-3-5-haiku-20241022,0,detailed,5,5A,helper_a,2.0,0.0,10
claude-3-5-haiku-20241022,0,detailed,5,5B,helper_b,-2.0,0.0,10
claude-3-5-haiku-20241022,0,detailed,6,6A,helper_a,-2.0,0.0,10
claude-3-5-haiku-20241022,0,detailed,6,6B,helper_b,1.0,0.0,10
claude-3-5-haiku-20241022,0,detailed,7,7A,helper_a,2.0,0.0,10
claude-3-5-haiku-20241022,0,detailed,7,7B,helper_b,2.0,0.0,10
claude-3-5-haiku-20241022,0,detailed,8,8A,helper_a,-3.0,0.0,10
claude-3-5-haiku-20241022,0,detailed,8,8B,helper_b,-1.0,0.0,10
claude-3-5-haiku-20241022,0,detailed,9,9A,helper_a,-1.0,0.0,10
claude-3-5-haiku-20241022,0,detailed,9,9B,helper_b,1.0,0.0,10
claude-3-5-haiku-20241022,0,detailed,10,10A,helper_a,2.0,0.0,10
claude-3-5-haiku-20241022,0,detailed,10,10B,helper_b,-3.0,0.0,10
claude-3-5-haiku-20241022,0,detailed,11,11A,helper_a,-2.0,0.0,10
claude-3-5-haiku-20241022,0,detailed,11,11B,helper_b,2.1,0.316227766016838,10
claude-3-5-haiku-20241022,0,detailed,12,12A,helper_a,2.0,0.0,10
claude-3-5-haiku-20241022,0,detailed,12,12B,helper_b,-2.0,0.0,10
claude-3-5-haiku-20241022,0,detailed,13,13A,helper_a,-2.4,0.5163977794943223,10
claude-3-5-haiku-20241022,0,detailed,13,13B,helper_b,2.0,0.0,10
claude-3-5-haiku-20241022,0,detailed,14,14A,helper_a,1.0,0.0,10
claude-3-5-haiku-20241022,0,detailed,14,14B,helper_b,-2.0,0.0,10
claude-3-5-haiku-20241022,0,detailed,15,15A,helper_a,-2.0,0.0,10
claude-3-5-haiku-20241022,0,detailed,15,15B,helper_b,2.0,0.0,10
claude-3-5-haiku-20241022,0,detailed,16,16A,helper_a,-2.0,0.0,10
claude-3-5-haiku-20241022,0,detailed,16,16B,helper_b,-2.0,0.0,10
claude-3-5-haiku-20241022,0,detailed,17,17A,helper_a,-1.0,0.0,10
claude-3-5-haiku-20241022,0,detailed,17,17B,helper_b,-1.0,0.0,10
